"participant","Congruency","Word","Colour","Correct","RT"
1,"Incongruent","GREEN","red",1,0.417002000000139
1,"Incongruent","GREEN","red",1,0.417029399999592
1,"Incongruent","GREEN","red",1,0.351565500000106
1,"Incongruent","RED","green",1,0.400312400000075
1,"Incongruent","GREEN","red",1,0.420160700000451
1,"Congruent","RED","red",1,0.483709799999815
1,"Incongruent","RED","green",1,0.36698670000078
1,"Congruent","GREEN","green",1,0.303416999999172
1,"Incongruent","RED","green",1,0.316912100000081
1,"Incongruent","RED","green",1,0.300223299999743
1,"Incongruent","RED","green",1,0.30028029999994
1,"Incongruent","GREEN","red",1,0.419228400000065
1,"Incongruent","GREEN","red",1,0.366942799999379
1,"Incongruent","GREEN","red",1,0.383645699999761
1,"Incongruent","GREEN","red",1,0.483717799999795
1,"Incongruent","RED","green",0,0.450347200000579
1,"Incongruent","RED","green",1,0.320007399999668
1,"Incongruent","RED","green",1,0.366945800000394
1,"Congruent","GREEN","green",1,0.33357370000067
1,"Incongruent","RED","green",1,0.373291400000198
1,"Incongruent","GREEN","red",1,0.400321999999505
1,"Incongruent","GREEN","red",1,0.433680099999947
1,"Congruent","GREEN","green",1,0.367014700000254
1,"Congruent","RED","red",1,0.483721999999943
1,"Incongruent","GREEN","red",1,0.550433499999599
1,"Incongruent","GREEN","red",1,0.413887400000021
1,"Incongruent","GREEN","red",1,0.567161800000576
1,"Congruent","GREEN","green",1,0.333611399999427
2,"Incongruent","GREEN","red",1,0.884073700000954
2,"Incongruent","RED","green",1,0.550441099998352
2,"Congruent","GREEN","green",1,0.734205899998415
2,"Incongruent","GREEN","red",1,0.602646299999833
2,"Incongruent","RED","green",1,0.984176500000103
2,"Incongruent","GREEN","red",1,1.05161640000006
2,"Incongruent","RED","green",1,1.26769090000016
2,"Congruent","RED","red",1,0.884080100000574
2,"Incongruent","RED","green",1,0.519280700000309
2,"Congruent","RED","red",1,0.770505800001047
2,"Congruent","GREEN","green",1,0.600466399999277
2,"Incongruent","GREEN","red",0,0.900782400000026
2,"Incongruent","GREEN","red",1,0.884047200001078
2,"Incongruent","GREEN","red",1,0.950765199999296
2,"Incongruent","RED","green",1,0.697425399999702
2,"Incongruent","GREEN","red",1,0.93467050000072
2,"Incongruent","RED","green",1,0.900757400000657
2,"Incongruent","GREEN","red",1,0.903044900000168
2,"Incongruent","GREEN","red",1,0.923139500000616
2,"Incongruent","GREEN","red",1,0.820444700000735
2,"Incongruent","RED","green",1,1.06758690000061
2,"Congruent","GREEN","green",1,1.00306920000003
2,"Incongruent","RED","green",1,1.15094159999899
2,"Incongruent","RED","green",1,0.917400800000905
2,"Incongruent","GREEN","red",1,0.733957099999316
2,"Incongruent","GREEN","red",1,0.650552400000379
2,"Incongruent","GREEN","red",1,0.66831590000038
2,"Congruent","GREEN","green",1,0.583829799999876
2,"Incongruent","RED","green",1,0.48474030000034
2,"Incongruent","GREEN","red",1,0.53374679999979
2,"Incongruent","GREEN","red",1,0.669577700000445
2,"Congruent","RED","red",1,0.617166899999575
2,"Incongruent","RED","green",1,0.619492400001036
2,"Congruent","RED","red",1,0.984137100000225
2,"Incongruent","RED","green",1,0.450356199999078
2,"Incongruent","RED","green",1,0.633852599999955
2,"Incongruent","GREEN","red",1,0.533810499999163
2,"Incongruent","RED","green",1,0.433692999999039
2,"Incongruent","RED","green",1,0.463904400001411
2,"Incongruent","RED","green",1,0.388839100000041
2,"Incongruent","RED","green",0,0.784011099998679
2,"Incongruent","RED","green",1,0.567117200000212
2,"Incongruent","GREEN","red",1,0.750585199999477
2,"Congruent","GREEN","green",1,0.51551819999986
2,"Incongruent","RED","green",1,0.520258399999875
2,"Incongruent","RED","green",1,0.45196659999965
2,"Incongruent","RED","green",1,0.483712400000513
2,"Congruent","RED","red",1,0.633867700000337
2,"Incongruent","GREEN","red",1,0.620712800000547
2,"Incongruent","RED","green",1,0.717246900001555
2,"Incongruent","RED","green",1,0.533744600001228
2,"Incongruent","RED","green",1,0.5671442999992
2,"Incongruent","GREEN","red",1,0.700522299999648
2,"Congruent","RED","red",1,0.605824600001142
2,"Incongruent","GREEN","red",1,0.450379100000646
2,"Incongruent","RED","green",1,0.619716700000936
2,"Incongruent","RED","green",1,0.430604999999559
2,"Incongruent","GREEN","red",1,0.672535199999402
2,"Incongruent","GREEN","red",1,0.586064999999508
2,"Incongruent","GREEN","red",1,0.600491200000761
2,"Incongruent","GREEN","red",1,0.567117900000085
2,"Incongruent","RED","green",1,0.523048899998685
2,"Congruent","GREEN","green",1,0.41911810000056
2,"Congruent","GREEN","green",1,0.536056000000826
2,"Incongruent","RED","green",1,0.864227799998844
2,"Incongruent","GREEN","red",1,0.502848699999959
2,"Incongruent","GREEN","red",1,0.567140799999834
2,"Incongruent","GREEN","red",1,0.52003010000044
2,"Congruent","RED","red",1,0.565479900000355
2,"Incongruent","GREEN","red",1,0.65054340000097
2,"Incongruent","GREEN","red",1,0.618406999999934
2,"Incongruent","GREEN","red",1,0.63383949999843
2,"Incongruent","RED","green",1,0.533762699998988
2,"Incongruent","GREEN","red",1,0.686435000001438
2,"Incongruent","RED","green",1,0.420118500000171
2,"Congruent","GREEN","green",1,0.586327799999708
2,"Incongruent","RED","green",1,0.433687599999757
2,"Incongruent","GREEN","red",1,0.750615900000412
2,"Incongruent","RED","green",1,0.420127900000807
2,"Congruent","RED","red",1,0.366962999998577
2,"Congruent","GREEN","green",0,NA
2,"Incongruent","RED","green",1,0.48370100000102
2,"Congruent","RED","red",1,0.43369150000035
2,"Incongruent","RED","green",1,0.353505899998709
2,"Congruent","GREEN","green",0,0.400315599999885
2,"Incongruent","GREEN","red",0,1.65416709999954
2,"Incongruent","RED","green",1,0.635323399999834
2,"Incongruent","GREEN","red",1,0.400302600000941
2,"Incongruent","RED","green",1,0.39721930000087
2,"Incongruent","RED","green",1,0.550455000000511
2,"Incongruent","RED","green",1,0.517094799999541
2,"Incongruent","GREEN","red",1,0.732829700000366
2,"Congruent","RED","red",1,0.551810599999953
2,"Incongruent","GREEN","red",1,0.553561100001389
2,"Incongruent","GREEN","red",1,0.533780800000386
2,"Incongruent","GREEN","red",1,0.519819600000119
2,"Congruent","GREEN","green",1,0.416691700000229
2,"Incongruent","GREEN","red",1,0.45040710000103
2,"Incongruent","RED","green",1,0.385209300000497
2,"Congruent","RED","red",1,0.397164099998918
2,"Incongruent","RED","green",1,0.350293700001203
2,"Incongruent","GREEN","red",1,0.366979000000356
2,"Incongruent","RED","green",1,0.297074599999178
2,"Incongruent","RED","green",0,0.485944699999891
2,"Incongruent","GREEN","red",1,0.43365409999933
2,"Incongruent","RED","green",1,0.817664899999727
2,"Incongruent","GREEN","red",1,0.647364500000549
2,"Incongruent","GREEN","red",1,1.33439570000155
2,"Congruent","RED","red",1,0.500389099999666
2,"Incongruent","RED","green",1,0.500387100000808
2,"Incongruent","RED","green",1,0.350275799999508
2,"Incongruent","GREEN","red",1,0.683356300000014
2,"Incongruent","GREEN","red",1,0.683888199999274
2,"Incongruent","RED","green",1,0.366974100001244
2,"Incongruent","GREEN","red",1,0.502508300000045
2,"Incongruent","RED","green",1,0.513939700000265
2,"Incongruent","RED","green",1,0.58796110000003
2,"Incongruent","GREEN","red",1,0.51708139999937
2,"Congruent","GREEN","green",1,0.517096300000048
2,"Incongruent","GREEN","red",1,0.61406530000022
2,"Congruent","GREEN","green",1,0.667219099999784
2,"Incongruent","GREEN","red",1,0.463896000001114
2,"Incongruent","RED","green",1,0.769306100000904
2,"Incongruent","RED","green",1,0.533742100000381
2,"Incongruent","GREEN","red",1,0.78565720000006
2,"Incongruent","RED","green",1,0.70059079999919
2,"Incongruent","GREEN","red",1,0.550434300001143
2,"Incongruent","GREEN","red",1,0.500487699999212
2,"Incongruent","GREEN","red",1,0.43370060000052
2,"Incongruent","GREEN","red",1,0.600655399999596
2,"Congruent","GREEN","green",1,0.447240099998453
2,"Congruent","RED","red",1,0.617516300000716
2,"Incongruent","GREEN","red",1,0.450281199999154
2,"Incongruent","RED","green",1,0.416924399998607
2,"Incongruent","GREEN","red",1,0.550531499999124
2,"Incongruent","RED","green",1,0.400314599999547
2,"Congruent","GREEN","green",1,0.700574499998766
2,"Incongruent","RED","green",1,0.733973399999741
2,"Congruent","RED","red",1,0.450353399999585
2,"Incongruent","RED","green",1,0.519221399999878
2,"Incongruent","GREEN","red",1,0.567154899999878
2,"Incongruent","GREEN","red",1,0.633840999998938
2,"Congruent","RED","red",1,0.5170478
2,"Incongruent","RED","green",1,0.570308899999873
2,"Incongruent","GREEN","red",1,0.467967900000076
2,"Incongruent","RED","green",1,0.469112900000255
2,"Incongruent","GREEN","red",1,0.664004399999612
2,"Incongruent","RED","green",1,0.486872199999198
2,"Incongruent","GREEN","red",1,0.51709529999971
2,"Incongruent","RED","green",1,0.350263700000141
2,"Incongruent","RED","green",0,0.438070400001379
2,"Incongruent","RED","green",1,0.533789500001149
2,"Incongruent","GREEN","red",1,0.567129700000805
2,"Incongruent","RED","green",1,0.430482100000518
2,"Incongruent","GREEN","red",1,0.78708910000023
2,"Congruent","RED","red",1,0.53373830000055
2,"Incongruent","GREEN","red",1,0.634419199999684
2,"Congruent","GREEN","green",1,0.500404399999752
2,"Incongruent","RED","green",1,0.51760479999939
2,"Incongruent","RED","green",1,0.400338100000226
2,"Incongruent","GREEN","red",1,0.636195299999599
2,"Incongruent","GREEN","red",1,0.567120600000635
2,"Congruent","RED","red",1,0.513950100001239
2,"Congruent","GREEN","green",1,0.56710700000076
2,"Incongruent","GREEN","red",1,0.483743199998571
2,"Incongruent","GREEN","red",1,0.736781100000371
2,"Incongruent","GREEN","red",1,0.467045000001235
2,"Congruent","RED","red",1,0.470375999999305
2,"Incongruent","RED","green",1,0.469161799999711
2,"Incongruent","GREEN","red",1,0.450906099998974
2,"Incongruent","RED","green",1,0.433686899999884
